ms (since 1970-01-01 00:00:00),YYYYMMDD,HH,DD,FH,FF,FX
1553904000000,20190329,24,100,30,40,40
1553907600000,20190330,1,100,30,30,40
1553911200000,20190330,2,110,20,20,30
1553914800000,20190330,3,110,30,20,30
1553918400000,20190330,4,120,20,20,30
1553922000000,20190330,5,150,30,30,40
1553925600000,20190330,6,180,30,20,40
1553929200000,20190330,7,210,30,30,40
1553932800000,20190330,8,200,30,30,40
1553936400000,20190330,9,220,30,30,40
1553940000000,20190330,10,230,30,30,40
1553943600000,20190330,11,220,30,20,40
1553947200000,20190330,12,230,30,20,40
1553950800000,20190330,13,990,20,10,30
1553954400000,20190330,14,360,20,30,30
1553958000000,20190330,15,20,30,30,60
1553961600000,20190330,16,10,40,40,60
1553965200000,20190330,17,360,40,40,70
1553968800000,20190330,18,360,50,40,70
1553972400000,20190330,19,350,30,30,50
1553976000000,20190330,20,350,40,40,70
1553979600000,20190330,21,350,40,40,50
1553983200000,20190330,22,20,60,70,80
1553986800000,20190330,23,20,60,50,80
1553990400000,20190330,24,30,50,50,70
1553994000000,20190331,1,20,70,80,90
1553997600000,20190331,2,30,90,90,110
1554001200000,20190331,3,30,90,90,100
1554004800000,20190331,4,30,70,70,90
1554008400000,20190331,5,40,70,80,100
1554012000000,20190331,6,30,90,90,110
1554015600000,20190331,7,40,90,90,110
1554019200000,20190331,8,50,90,80,110
1554022800000,20190331,9,50,90,90,100
1554026400000,20190331,10,40,80,70,100
1554030000000,20190331,11,40,70,70,90
1554033600000,20190331,12,40,80,80,90
1554037200000,20190331,13,30,80,80,90
1554040800000,20190331,14,30,80,80,100
1554044400000,20190331,15,30,90,100,110
1554048000000,20190331,16,40,110,110,140
1554051600000,20190331,17,50,110,120,140
1554055200000,20190331,18,50,110,110,140
1554058800000,20190331,19,50,120,120,140
1554062400000,20190331,20,60,130,130,150
1554066000000,20190331,21,60,120,120,150
1554069600000,20190331,22,60,120,120,140
1554073200000,20190331,23,70,110,110,140
1554076800000,20190331,24,70,100,100,130
1554080400000,20190401,1,70,100,100,130
1554084000000,20190401,2,70,100,110,130
1554087600000,20190401,3,70,110,100,140
1554091200000,20190401,4,70,100,100,130
1554094800000,20190401,5,70,100,100,120
1554098400000,20190401,6,70,100,100,120
1554102000000,20190401,7,80,100,90,120
1554105600000,20190401,8,90,80,80,100
1554109200000,20190401,9,90,70,70,90
1554112800000,20190401,10,90,70,70,90
1554116400000,20190401,11,90,70,70,90
1554120000000,20190401,12,90,70,80,90
1554123600000,20190401,13,90,70,70,90
1554127200000,20190401,14,90,70,70,80
1554130800000,20190401,15,90,60,70,80
1554134400000,20190401,16,90,60,60,70
1554138000000,20190401,17,90,60,60,70
1554141600000,20190401,18,90,60,60,70
1554145200000,20190401,19,90,60,60,70
1554148800000,20190401,20,90,60,60,70
1554152400000,20190401,21,90,60,60,70
1554156000000,20190401,22,100,60,60,70
1554159600000,20190401,23,110,60,60,70
1554163200000,20190401,24,110,70,60,80
1554166800000,20190402,1,120,70,60,80
1554170400000,20190402,2,120,60,60,70
1554174000000,20190402,3,120,60,60,70
1554177600000,20190402,4,130,60,60,80
1554181200000,20190402,5,140,70,70,80
1554184800000,20190402,6,130,70,70,80
1554188400000,20190402,7,140,70,60,80
1554192000000,20190402,8,140,60,60,70
1554195600000,20190402,9,130,50,50,60
1554199200000,20190402,10,130,60,50,70
1554202800000,20190402,11,150,60,40,80
1554206400000,20190402,12,220,50,40,90
1554210000000,20190402,13,220,50,60,80
1554213600000,20190402,14,220,70,70,100
1554217200000,20190402,15,180,60,60,80
1554220800000,20190402,16,160,60,80,90
1554224400000,20190402,17,240,70,110,130
1554228000000,20190402,18,200,90,40,150
1554231600000,20190402,19,180,40,50,60
1554235200000,20190402,20,160,60,70,80
1554238800000,20190402,21,190,80,80,100
1554242400000,20190402,22,210,80,90,110
1554246000000,20190402,23,230,90,90,130
1554249600000,20190402,24,220,100,100,120
1554253200000,20190403,1,220,100,100,130
1554256800000,20190403,2,230,90,90,110
1554260400000,20190403,3,230,70,70,110
1554264000000,20190403,4,220,80,80,100
1554267600000,20190403,5,210,80,70,100
1554271200000,20190403,6,200,70,60,90
1554274800000,20190403,7,190,50,60,70
1554278400000,20190403,8,180,60,60,70
1554282000000,20190403,9,160,60,50,70
1554285600000,20190403,10,150,50,50,60
1554289200000,20190403,11,160,50,60,70
1554292800000,20190403,12,120,60,60,80
1554296400000,20190403,13,140,70,70,90
1554300000000,20190403,14,140,70,70,90
1554303600000,20190403,15,240,70,60,110
1554307200000,20190403,16,240,40,20,70
1554310800000,20190403,17,90,10,10,20
1554314400000,20190403,18,60,30,40,50
1554318000000,20190403,19,210,40,50,70
1554321600000,20190403,20,130,20,30,60
1554325200000,20190403,21,130,50,60,70
1554328800000,20190403,22,170,60,50,70
1554332400000,20190403,23,170,50,40,60
1554336000000,20190403,24,190,60,60,70
1554339600000,20190404,1,190,60,60,70
1554343200000,20190404,2,190,60,60,70
1554346800000,20190404,3,200,60,60,70
1554350400000,20190404,4,190,60,50,70
1554354000000,20190404,5,190,50,50,70
1554357600000,20190404,6,190,40,30,70
1554361200000,20190404,7,180,30,20,40
1554364800000,20190404,8,180,30,30,40
1554368400000,20190404,9,170,40,40,50
1554372000000,20190404,10,150,30,20,60
1554375600000,20190404,11,150,20,20,30
1554379200000,20190404,12,90,20,20,40
1554382800000,20190404,13,90,30,30,50
1554386400000,20190404,14,100,50,60,70
1554390000000,20190404,15,120,60,50,70
1554393600000,20190404,16,130,50,50,70
1554397200000,20190404,17,130,60,60,70
1554400800000,20190404,18,120,60,70,80
1554404400000,20190404,19,110,70,70,80
1554408000000,20190404,20,110,70,60,80
1554411600000,20190404,21,130,60,60,70
1554415200000,20190404,22,120,60,60,70
1554418800000,20190404,23,120,50,50,70
1554422400000,20190404,24,120,50,40,70
1554426000000,20190405,1,140,40,30,50
1554429600000,20190405,2,150,30,30,40
1554433200000,20190405,3,130,30,30,40
1554436800000,20190405,4,140,30,30,40
1554440400000,20190405,5,90,40,40,60
1554444000000,20190405,6,100,40,40,50
1554447600000,20190405,7,110,30,20,50
1554451200000,20190405,8,110,20,20,40
1554454800000,20190405,9,80,20,30,30
1554458400000,20190405,10,50,20,10,30
1554462000000,20190405,11,10,20,20,30
1554465600000,20190405,12,20,30,40,60
1554469200000,20190405,13,340,40,50,60
1554472800000,20190405,14,340,40,40,70
1554476400000,20190405,15,360,50,70,70
1554480000000,20190405,16,40,60,70,70
1554483600000,20190405,17,40,70,70,80
1554487200000,20190405,18,50,70,60,80
1554490800000,20190405,19,60,60,70,70
1554494400000,20190405,20,60,60,60,70
1554498000000,20190405,21,50,60,60,70
1554501600000,20190405,22,60,50,50,70
1554505200000,20190405,23,70,60,60,70
1554508800000,20190405,24,60,60,60,70
1554512400000,20190406,1,50,60,70,70
1554516000000,20190406,2,50,60,60,80
1554519600000,20190406,3,70,60,70,70
1554523200000,20190406,4,80,60,60,80
1554526800000,20190406,5,80,60,60,80
1554530400000,20190406,6,70,70,70,80
1554534000000,20190406,7,80,70,70,90
1554537600000,20190406,8,80,70,60,80
1554541200000,20190406,9,80,70,60,80
1554544800000,20190406,10,90,70,70,80
1554548400000,20190406,11,90,60,60,70
1554552000000,20190406,12,80,50,50,70
1554555600000,20190406,13,70,40,40,70
1554559200000,20190406,14,50,40,30,50
1554562800000,20190406,15,50,40,30,40
1554566400000,20190406,16,70,50,50,70
1554570000000,20190406,17,80,60,70,70
1554573600000,20190406,18,70,60,60,70
1554577200000,20190406,19,60,60,60,70
1554580800000,20190406,20,50,50,40,70
1554584400000,20190406,21,50,60,60,70
1554588000000,20190406,22,40,60,70,80
1554591600000,20190406,23,40,70,70,80
1554595200000,20190406,24,40,70,70,80
1554598800000,20190407,1,40,70,70,80
1554602400000,20190407,2,50,70,70,80
1554606000000,20190407,3,60,70,60,70
1554609600000,20190407,4,60,60,50,70
1554613200000,20190407,5,60,40,40,60
1554616800000,20190407,6,60,50,60,70
1554620400000,20190407,7,70,60,60,70
1554624000000,20190407,8,70,60,60,70
1554627600000,20190407,9,60,50,60,70
1554631200000,20190407,10,60,60,50,70
1554634800000,20190407,11,70,50,40,70
1554638400000,20190407,12,80,50,60,70
1554642000000,20190407,13,80,60,60,70
1554645600000,20190407,14,100,60,50,70
1554649200000,20190407,15,70,40,50,70
1554652800000,20190407,16,40,60,50,70
1554656400000,20190407,17,60,60,50,70
1554660000000,20190407,18,60,60,60,70
1554663600000,20190407,19,60,60,60,70
1554667200000,20190407,20,40,70,70,80
1554670800000,20190407,21,50,70,70,80
1554674400000,20190407,22,50,70,70,80
1554678000000,20190407,23,50,70,70,70
1554681600000,20190407,24,50,60,60,70
1554685200000,20190408,1,60,60,60,70
1554688800000,20190408,2,60,60,60,70
1554692400000,20190408,3,60,60,60,70
1554696000000,20190408,4,70,60,60,70
1554699600000,20190408,5,70,50,50,70
1554703200000,20190408,6,80,50,50,70
1554706800000,20190408,7,60,40,40,60
1554710400000,20190408,8,60,40,30,60
1554714000000,20190408,9,40,30,30,40
1554717600000,20190408,10,40,50,60,70
1554721200000,20190408,11,30,50,50,70
1554724800000,20190408,12,30,60,60,70
1554728400000,20190408,13,30,60,50,70
1554732000000,20190408,14,30,60,60,70
1554735600000,20190408,15,30,70,80,90
1554739200000,20190408,16,30,90,100,110
1554742800000,20190408,17,30,90,90,110
1554746400000,20190408,18,30,90,90,110
1554750000000,20190408,19,40,90,90,110
1554753600000,20190408,20,50,80,80,100
1554757200000,20190408,21,60,100,100,120
1554760800000,20190408,22,60,90,100,110
1554764400000,20190408,23,60,100,110,120
1554768000000,20190408,24,70,110,110,130
1554771600000,20190409,1,70,110,110,130
1554775200000,20190409,2,70,110,110,130
1554778800000,20190409,3,70,100,100,130
1554782400000,20190409,4,60,110,110,130
1554786000000,20190409,5,60,110,110,130
1554789600000,20190409,6,70,110,110,140
1554793200000,20190409,7,60,110,110,140
1554796800000,20190409,8,70,120,130,150
1554800400000,20190409,9,70,120,120,150
1554804000000,20190409,10,80,120,110,150
1554807600000,20190409,11,70,100,100,140
1554811200000,20190409,12,70,100,100,130
1554814800000,20190409,13,70,100,100,120
1554818400000,20190409,14,70,100,100,120
1554822000000,20190409,15,70,90,90,110
1554825600000,20190409,16,60,90,90,120
1554829200000,20190409,17,50,90,90,120
1554832800000,20190409,18,50,120,120,140
1554836400000,20190409,19,40,130,130,150
1554840000000,20190409,20,50,130,130,160
1554843600000,20190409,21,50,140,130,160
1554847200000,20190409,22,60,130,130,150
1554850800000,20190409,23,60,130,120,150
1554854400000,20190409,24,60,120,120,150
1554858000000,20190410,1,70,120,130,150
1554861600000,20190410,2,70,120,120,140
1554865200000,20190410,3,70,110,110,140
1554868800000,20190410,4,60,110,120,140
1554872400000,20190410,5,60,120,120,140
1554876000000,20190410,6,60,120,110,150
1554879600000,20190410,7,60,120,130,150
1554883200000,20190410,8,60,130,120,160
1554886800000,20190410,9,60,110,100,160
1554890400000,20190410,10,50,90,90,130
1554894000000,20190410,11,50,80,80,110
1554897600000,20190410,12,40,80,90,110
1554901200000,20190410,13,40,90,90,110
1554904800000,20190410,14,40,90,100,120
1554908400000,20190410,15,30,110,120,140
1554912000000,20190410,16,30,140,130,170
1554915600000,20190410,17,30,130,120,160
1554919200000,20190410,18,50,110,110,150
1554922800000,20190410,19,50,110,110,140
1554926400000,20190410,20,50,120,120,150
1554930000000,20190410,21,50,110,110,140
1554933600000,20190410,22,50,110,110,140
1554937200000,20190410,23,50,110,110,130
1554940800000,20190410,24,50,110,110,130
1554944400000,20190411,1,50,110,110,130
1554948000000,20190411,2,50,110,100,130
1554951600000,20190411,3,50,110,100,130
1554955200000,20190411,4,60,100,100,120
1554958800000,20190411,5,60,100,100,110
1554962400000,20190411,6,60,90,90,110
1554966000000,20190411,7,60,90,100,110
1554969600000,20190411,8,50,90,90,110
1554973200000,20190411,9,50,80,80,100
1554976800000,20190411,10,40,70,70,100
1554980400000,20190411,11,40,70,70,90
1554984000000,20190411,12,30,70,70,90
1554987600000,20190411,13,40,70,60,90
1554991200000,20190411,14,70,50,70,80
1554994800000,20190411,15,40,50,40,80
1554998400000,20190411,16,30,80,100,110
1555002000000,20190411,17,40,110,110,130
1555005600000,20190411,18,50,110,120,150
1555009200000,20190411,19,50,120,120,140
1555012800000,20190411,20,50,110,110,150
1555016400000,20190411,21,60,110,110,130
1555020000000,20190411,22,60,100,100,120
1555023600000,20190411,23,60,90,90,110
1555027200000,20190411,24,60,80,80,100
1555030800000,20190412,1,60,80,70,100
1555034400000,20190412,2,70,80,80,90
1555038000000,20190412,3,90,80,80,100
1555041600000,20190412,4,70,80,70,100
1555045200000,20190412,5,70,70,70,90
1555048800000,20190412,6,70,80,80,90
1555052400000,20190412,7,70,70,80,90
1555056000000,20190412,8,70,80,70,90
1555059600000,20190412,9,70,70,60,80
1555063200000,20190412,10,60,50,50,70
1555066800000,20190412,11,40,60,50,70
1555070400000,20190412,12,40,70,80,90
1555074000000,20190412,13,40,70,80,90
1555077600000,20190412,14,60,80,70,110
1555081200000,20190412,15,80,80,90,110
1555084800000,20190412,16,70,80,80,100
1555088400000,20190412,17,60,70,70,90
1555092000000,20190412,18,50,80,70,100
1555095600000,20190412,19,70,80,80,100
1555099200000,20190412,20,50,80,80,100
1555102800000,20190412,21,70,80,70,100
1555106400000,20190412,22,60,80,90,100
1555110000000,20190412,23,60,90,90,110
1555113600000,20190412,24,60,90,90,110
1555117200000,20190413,1,70,90,90,110
1555120800000,20190413,2,70,90,90,110
1555124400000,20190413,3,60,80,80,110
1555128000000,20190413,4,50,80,80,90
1555131600000,20190413,5,50,70,70,90
1555135200000,20190413,6,60,70,80,90
1555138800000,20190413,7,60,80,80,100
1555142400000,20190413,8,60,70,60,90
1555146000000,20190413,9,40,60,60,80
1555149600000,20190413,10,40,70,70,100
1555153200000,20190413,11,30,90,90,130
1555156800000,20190413,12,40,80,70,130
1555160400000,20190413,13,50,80,60,140
1555164000000,20190413,14,40,80,80,140
1555167600000,20190413,15,50,90,100,120
1555171200000,20190413,16,80,90,100,140
1555174800000,20190413,17,50,90,90,140
1555178400000,20190413,18,50,90,80,130
1555182000000,20190413,19,60,90,90,120
1555185600000,20190413,20,60,80,70,110
1555189200000,20190413,21,60,80,90,110
1555192800000,20190413,22,60,90,90,110
1555196400000,20190413,23,60,80,90,110
1555200000000,20190413,24,70,80,90,110
1555203600000,20190414,1,60,90,90,110
1555207200000,20190414,2,60,90,90,110
1555210800000,20190414,3,60,90,90,110
1555214400000,20190414,4,70,90,90,110
1555218000000,20190414,5,80,90,90,110
1555221600000,20190414,6,70,90,90,100
1555225200000,20190414,7,70,80,70,100
1555228800000,20190414,8,80,80,70,100
1555232400000,20190414,9,70,70,70,80
1555236000000,20190414,10,80,70,70,90
1555239600000,20190414,11,60,70,70,90
1555243200000,20190414,12,80,60,60,80
1555246800000,20190414,13,70,40,40,70
1555250400000,20190414,14,70,50,60,80
1555254000000,20190414,15,50,60,60,90
1555257600000,20190414,16,50,60,60,80
1555261200000,20190414,17,40,60,60,80
1555264800000,20190414,18,60,80,90,110
1555268400000,20190414,19,60,90,90,100
1555272000000,20190414,20,60,80,80,100
1555275600000,20190414,21,70,90,90,110
1555279200000,20190414,22,70,80,80,100
1555282800000,20190414,23,80,80,70,90
1555286400000,20190414,24,80,70,70,90
1555290000000,20190415,1,70,80,80,100
1555293600000,20190415,2,70,80,80,100
1555297200000,20190415,3,70,80,80,100
1555300800000,20190415,4,80,80,80,100
1555304400000,20190415,5,80,80,80,100
1555308000000,20190415,6,80,80,80,100
1555311600000,20190415,7,90,90,90,110
1555315200000,20190415,8,100,80,70,110
1555318800000,20190415,9,100,70,70,90
1555322400000,20190415,10,90,70,70,90
1555326000000,20190415,11,100,70,70,90
1555329600000,20190415,12,100,70,70,90
1555333200000,20190415,13,90,70,70,100
1555336800000,20190415,14,100,80,70,90
1555340400000,20190415,15,90,80,90,100
1555344000000,20190415,16,90,80,80,110
1555347600000,20190415,17,90,90,100,120
1555351200000,20190415,18,90,100,100,120
1555354800000,20190415,19,90,100,100,120
1555358400000,20190415,20,90,100,100,120
1555362000000,20190415,21,90,100,100,130
1555365600000,20190415,22,90,100,100,120
1555369200000,20190415,23,90,100,100,120
1555372800000,20190415,24,90,100,100,130
1555376400000,20190416,1,80,110,110,120
1555380000000,20190416,2,80,100,100,130
1555383600000,20190416,3,90,110,110,130
1555387200000,20190416,4,80,110,110,140
1555390800000,20190416,5,90,110,110,130
1555394400000,20190416,6,90,110,110,140
1555398000000,20190416,7,80,100,90,130
1555401600000,20190416,8,90,100,100,130
1555405200000,20190416,9,90,90,90,120
1555408800000,20190416,10,80,80,80,110
1555412400000,20190416,11,80,80,80,100
1555416000000,20190416,12,90,70,70,90
1555419600000,20190416,13,100,70,70,80
1555423200000,20190416,14,90,70,70,80
1555426800000,20190416,15,80,70,60,90
1555430400000,20190416,16,90,60,60,80
1555434000000,20190416,17,80,70,70,80
1555437600000,20190416,18,70,70,80,90
1555441200000,20190416,19,70,80,80,90
1555444800000,20190416,20,70,80,80,90
1555448400000,20190416,21,70,80,80,90
1555452000000,20190416,22,90,80,70,90
1555455600000,20190416,23,100,60,60,80
1555459200000,20190416,24,100,50,50,70
1555462800000,20190417,1,100,60,60,70
1555466400000,20190417,2,110,50,50,70
1555470000000,20190417,3,110,40,40,70
1555473600000,20190417,4,100,50,60,70
1555477200000,20190417,5,90,60,60,70
1555480800000,20190417,6,90,60,70,70
1555484400000,20190417,7,100,60,60,70
1555488000000,20190417,8,90,60,60,70
1555491600000,20190417,9,100,60,60,70
1555495200000,20190417,10,80,50,40,70
1555498800000,20190417,11,70,50,60,70
1555502400000,20190417,12,80,60,60,70
1555506000000,20190417,13,90,70,70,80
1555509600000,20190417,14,110,60,60,80
1555513200000,20190417,15,160,70,60,90
1555516800000,20190417,16,170,50,40,70
1555520400000,20190417,17,140,40,30,60
1555524000000,20190417,18,90,40,60,70
1555527600000,20190417,19,80,50,50,70
1555531200000,20190417,20,60,50,60,70
1555534800000,20190417,21,60,60,50,70
1555538400000,20190417,22,80,60,60,70
1555542000000,20190417,23,80,70,70,80
1555545600000,20190417,24,90,70,80,90
1555549200000,20190418,1,80,70,70,80
1555552800000,20190418,2,80,80,80,90
1555556400000,20190418,3,80,70,70,90
1555560000000,20190418,4,80,80,80,100
1555563600000,20190418,5,80,80,80,90
1555567200000,20190418,6,90,80,80,100
1555570800000,20190418,7,90,80,70,90
1555574400000,20190418,8,90,70,70,80
1555578000000,20190418,9,90,70,70,90
1555581600000,20190418,10,90,60,60,80
1555585200000,20190418,11,90,80,90,110
1555588800000,20190418,12,100,90,80,100
1555592400000,20190418,13,100,80,80,100
1555596000000,20190418,14,90,80,90,110
1555599600000,20190418,15,90,80,80,110
1555603200000,20190418,16,90,80,70,100
1555606800000,20190418,17,90,80,80,100
1555610400000,20190418,18,80,80,80,100
1555614000000,20190418,19,80,70,80,90
1555617600000,20190418,20,80,80,80,90
1555621200000,20190418,21,70,70,70,90
1555624800000,20190418,22,60,80,70,90
1555628400000,20190418,23,60,70,80,80
1555632000000,20190418,24,70,80,80,100
1555635600000,20190419,1,70,90,90,100
1555639200000,20190419,2,80,90,90,110
1555642800000,20190419,3,80,90,90,110
1555646400000,20190419,4,80,90,90,110
1555650000000,20190419,5,80,80,80,100
1555653600000,20190419,6,90,80,80,90
1555657200000,20190419,7,90,70,60,90
1555660800000,20190419,8,90,60,70,80
1555664400000,20190419,9,90,50,50,80
1555668000000,20190419,10,80,40,40,70
1555671600000,20190419,11,40,40,50,70
1555675200000,20190419,12,60,30,20,70
1555678800000,20190419,13,90,50,70,70
1555682400000,20190419,14,100,70,60,80
1555686000000,20190419,15,70,50,40,70
1555689600000,20190419,16,40,40,30,50
1555693200000,20190419,17,40,40,40,70
1555696800000,20190419,18,70,60,70,70
1555700400000,20190419,19,60,70,70,70
1555704000000,20190419,20,40,70,70,90
1555707600000,20190419,21,50,70,70,90
1555711200000,20190419,22,60,70,60,70
1555714800000,20190419,23,50,60,60,70
1555718400000,20190419,24,50,60,60,70
1555722000000,20190420,1,50,60,60,70
1555725600000,20190420,2,60,60,60,70
1555729200000,20190420,3,70,60,60,70
1555732800000,20190420,4,70,60,60,80
1555736400000,20190420,5,80,60,60,70
1555740000000,20190420,6,70,60,60,70
1555743600000,20190420,7,70,50,40,70
1555747200000,20190420,8,60,30,30,50
1555750800000,20190420,9,50,40,40,40
1555754400000,20190420,10,30,40,40,50
1555758000000,20190420,11,30,50,40,70
1555761600000,20190420,12,90,40,60,70
1555765200000,20190420,13,80,50,40,70
1555768800000,20190420,14,360,30,30,40
1555772400000,20190420,15,20,30,50,50
1555776000000,20190420,16,30,50,60,70
1555779600000,20190420,17,40,70,90,100
1555783200000,20190420,18,40,80,80,90
1555786800000,20190420,19,50,80,80,100
1555790400000,20190420,20,70,80,80,100
1555794000000,20190420,21,60,80,80,90
1555797600000,20190420,22,70,80,80,90
1555801200000,20190420,23,60,70,70,90
1555804800000,20190420,24,70,70,70,80
1555808400000,20190421,1,70,70,60,80
1555812000000,20190421,2,60,60,60,70
1555815600000,20190421,3,60,60,60,70
1555819200000,20190421,4,50,60,60,70
1555822800000,20190421,5,70,60,60,70
1555826400000,20190421,6,60,60,60,70
1555830000000,20190421,7,70,60,60,70
1555833600000,20190421,8,70,50,50,70
1555837200000,20190421,9,50,40,30,60
1555840800000,20190421,10,20,30,30,40
1555844400000,20190421,11,20,30,40,40
1555848000000,20190421,12,20,40,40,50
1555851600000,20190421,13,360,40,50,70
1555855200000,20190421,14,360,50,50,70
1555858800000,20190421,15,360,60,60,70
1555862400000,20190421,16,360,60,60,70
1555866000000,20190421,17,20,50,40,60
1555869600000,20190421,18,40,70,80,90
1555873200000,20190421,19,40,80,80,90
1555876800000,20190421,20,60,70,70,80
1555880400000,20190421,21,70,70,70,80
1555884000000,20190421,22,70,70,60,80
1555887600000,20190421,23,80,60,50,70
1555891200000,20190421,24,90,50,50,70
1555894800000,20190422,1,80,50,50,70
1555898400000,20190422,2,80,50,40,70
1555902000000,20190422,3,90,60,60,70
1555905600000,20190422,4,90,70,70,80
1555909200000,20190422,5,90,70,70,80
1555912800000,20190422,6,100,70,70,90
1555916400000,20190422,7,100,70,70,90
1555920000000,20190422,8,100,70,70,90
1555923600000,20190422,9,90,70,70,80
1555927200000,20190422,10,90,70,70,70
1555930800000,20190422,11,100,70,70,80
1555934400000,20190422,12,90,70,70,80
1555938000000,20190422,13,90,70,70,90
1555941600000,20190422,14,90,80,80,100
1555945200000,20190422,15,90,80,90,100
1555948800000,20190422,16,90,90,90,100
1555952400000,20190422,17,90,90,90,100
1555956000000,20190422,18,90,90,90,110
1555959600000,20190422,19,80,100,100,120
1555963200000,20190422,20,90,100,100,120
1555966800000,20190422,21,90,110,110,130
1555970400000,20190422,22,100,120,120,150
1555974000000,20190422,23,90,120,110,150
1555977600000,20190422,24,90,110,110,140
1555981200000,20190423,1,90,110,110,130
1555984800000,20190423,2,90,100,110,130
1555988400000,20190423,3,90,110,110,130
1555992000000,20190423,4,100,120,130,150
1555995600000,20190423,5,100,120,130,150
1555999200000,20190423,6,100,130,130,160
1556002800000,20190423,7,100,130,120,160
1556006400000,20190423,8,100,110,100,150
1556010000000,20190423,9,90,110,100,130
1556013600000,20190423,10,90,90,90,120
1556017200000,20190423,11,90,110,100,140
1556020800000,20190423,12,100,100,110,130
1556024400000,20190423,13,100,100,90,130
1556028000000,20190423,14,100,100,100,130
1556031600000,20190423,15,90,90,90,120
1556035200000,20190423,16,110,80,90,110
1556038800000,20190423,17,100,90,80,110
1556042400000,20190423,18,90,80,80,110
1556046000000,20190423,19,90,70,80,90
1556049600000,20190423,20,80,80,80,90
1556053200000,20190423,21,80,80,90,100
1556056800000,20190423,22,90,90,90,100
1556060400000,20190423,23,90,80,80,100
1556064000000,20190423,24,100,80,80,100
1556067600000,20190424,1,100,80,90,100
1556071200000,20190424,2,110,70,70,90
1556074800000,20190424,3,120,70,70,80
1556078400000,20190424,4,140,60,60,70
1556082000000,20190424,5,150,60,60,70
1556085600000,20190424,6,160,60,60,70
1556089200000,20190424,7,160,60,60,80
1556092800000,20190424,8,140,60,40,80
1556096400000,20190424,9,150,60,60,80
1556100000000,20190424,10,170,70,70,90
1556103600000,20190424,11,170,70,70,90
1556107200000,20190424,12,170,100,110,140
1556110800000,20190424,13,180,90,100,140
1556114400000,20190424,14,180,90,90,110
1556118000000,20190424,15,190,80,80,120
1556121600000,20190424,16,190,70,70,100
1556125200000,20190424,17,200,60,70,90
1556128800000,20190424,18,240,90,90,140
1556132400000,20190424,19,230,90,90,140
1556136000000,20190424,20,210,120,150,190
1556139600000,20190424,21,220,120,110,190
1556143200000,20190424,22,200,110,110,150
1556146800000,20190424,23,180,100,100,130
1556150400000,20190424,24,170,90,90,130
1556154000000,20190425,1,170,100,100,140
1556157600000,20190425,2,180,100,100,130
1556161200000,20190425,3,170,80,70,120
1556164800000,20190425,4,150,70,70,90
1556168400000,20190425,5,140,80,90,110
1556172000000,20190425,6,150,90,80,120
1556175600000,20190425,7,150,90,80,110
1556179200000,20190425,8,160,80,90,110
1556182800000,20190425,9,160,90,90,120
1556186400000,20190425,10,150,90,90,130
1556190000000,20190425,11,140,80,80,120
1556193600000,20190425,12,140,80,70,110
1556197200000,20190425,13,170,80,80,130
1556200800000,20190425,14,150,80,70,120
1556204400000,20190425,15,200,90,150,210
1556208000000,20190425,16,200,110,100,200
1556211600000,20190425,17,190,100,90,140
1556215200000,20190425,18,160,70,70,100
1556218800000,20190425,19,200,80,90,120
1556222400000,20190425,20,210,80,80,110
1556226000000,20190425,21,210,70,60,100
1556229600000,20190425,22,170,50,60,70
1556233200000,20190425,23,180,60,60,70
1556236800000,20190425,24,200,60,60,70
1556240400000,20190426,1,220,70,70,90
1556244000000,20190426,2,210,70,60,90
1556247600000,20190426,3,210,70,70,80
1556251200000,20190426,4,220,60,60,90
1556254800000,20190426,5,190,60,60,80
1556258400000,20190426,6,220,70,60,90
1556262000000,20190426,7,230,70,60,90
1556265600000,20190426,8,220,60,60,80
1556269200000,20190426,9,230,60,60,80
1556272800000,20190426,10,240,60,60,80
1556276400000,20190426,11,220,60,50,70
1556280000000,20190426,12,210,50,40,70
1556283600000,20190426,13,220,40,30,60
1556287200000,20190426,14,260,60,80,100
1556290800000,20190426,15,250,70,60,110
1556294400000,20190426,16,250,80,80,110
1556298000000,20190426,17,260,70,70,110
1556301600000,20190426,18,250,60,50,80
1556305200000,20190426,19,190,40,30,60
1556308800000,20190426,20,170,50,60,60
1556312400000,20190426,21,180,50,40,60
1556316000000,20190426,22,200,60,60,70
1556319600000,20190426,23,190,70,70,80
1556323200000,20190426,24,200,70,80,100
1556326800000,20190427,1,200,80,80,100
1556330400000,20190427,2,190,90,100,110
1556334000000,20190427,3,190,100,100,120
1556337600000,20190427,4,190,90,90,120
1556341200000,20190427,5,190,100,110,130
1556344800000,20190427,6,200,110,120,140
1556348400000,20190427,7,200,110,120,140
1556352000000,20190427,8,210,110,110,150
1556355600000,20190427,9,230,120,120,160
1556359200000,20190427,10,230,110,110,150
1556362800000,20190427,11,230,120,130,150
1556366400000,20190427,12,240,120,120,160
1556370000000,20190427,13,210,110,90,160
1556373600000,20190427,14,230,130,140,190
1556377200000,20190427,15,240,120,140,190
1556380800000,20190427,16,240,140,120,190
1556384400000,20190427,17,240,120,130,160
1556388000000,20190427,18,240,130,130,180
1556391600000,20190427,19,240,130,130,160
1556395200000,20190427,20,260,120,140,180
1556398800000,20190427,21,250,110,110,160
1556402400000,20190427,22,240,90,60,150
1556406000000,20190427,23,240,90,80,140
1556409600000,20190427,24,230,90,90,110
