Datum,Windsnelheid (m/s),Windrichting (graden)
20230110.0,9.8,207.0
20230111.0,10.6,232.0
20230112.0,13.6,235.0
20230113.0,13.7,248.0
20230114.0,9.9,220.0
20230115.0,13.1,240.0
20230117.0,7.2,258.0
20230118.0,10.0,233.0
20230119.0,5.7,270.0
20230122.0,7.2,44.0
20230127.0,6.4,47.0
20230129.0,9.1,221.0
20230130.0,10.0,288.0
20230131.0,9.5,256.0
20230201.0,11.4,274.0
20230202.0,7.8,265.0
20230203.0,8.6,279.0
20230205.0,7.0,344.0
20230209.0,7.0,221.0
20230210.0,7.5,230.0
20230216.0,7.4,213.0
20230217.0,9.4,243.0
20230218.0,9.3,250.0
20230220.0,11.2,241.0
