tide,dates
-0.13856944,2019-03-31 11:30:00+00:00
-0.14172222,2019-03-31 11:45:00+00:00
-0.14206944,2019-03-31 12:00:00+00:00
-0.13915278,2019-03-31 12:15:00+00:00
-0.13461111,2019-03-31 12:30:00+00:00
-0.13510416,2019-03-31 12:45:00+00:00
-0.13530555,2019-03-31 13:00:00+00:00
-0.13458334,2019-03-31 13:15:00+00:00
-0.13652778,2019-03-31 13:30:00+00:00
-0.13291667,2019-03-31 13:45:00+00:00
-0.13143055,2019-03-31 14:00:00+00:00
-0.13047223,2019-03-31 14:15:00+00:00
-0.131625,2019-03-31 14:30:00+00:00
-0.13484722,2019-03-31 14:45:00+00:00
-0.13619444,2019-03-31 15:00:00+00:00
-0.13608333,2019-03-31 15:15:00+00:00
-0.13893056,2019-03-31 15:30:00+00:00
-0.13931945,2019-03-31 15:45:00+00:00
-0.14288889,2019-03-31 16:00:00+00:00
-0.14806944,2019-03-31 16:15:00+00:00
-0.14955555,2019-03-31 16:30:00+00:00
-0.14952777,2019-03-31 16:45:00+00:00
-0.15497223,2019-03-31 17:00:00+00:00
-0.16193056,2019-03-31 17:15:00+00:00
-0.16952778,2019-03-31 17:30:00+00:00
-0.179,2019-03-31 17:45:00+00:00
-0.18019444,2019-03-31 18:00:00+00:00
-0.18127778,2019-03-31 18:15:00+00:00
-0.18129167,2019-03-31 18:30:00+00:00
-0.17716667,2019-03-31 18:45:00+00:00
-0.17573611,2019-03-31 19:00:00+00:00
-0.18072222,2019-03-31 19:15:00+00:00
-0.18086112,2019-03-31 19:30:00+00:00
-0.18443055,2019-03-31 19:45:00+00:00
-0.19245139,2019-03-31 20:00:00+00:00
-0.19545834,2019-03-31 20:15:00+00:00
-0.2023611,2019-03-31 20:30:00+00:00
-0.20519444,2019-03-31 20:45:00+00:00
-0.20509723,2019-03-31 21:00:00+00:00
-0.20295833,2019-03-31 21:15:00+00:00
-0.19955556,2019-03-31 21:30:00+00:00
-0.19943056,2019-03-31 21:45:00+00:00
-0.19834723,2019-03-31 22:00:00+00:00
-0.19877778,2019-03-31 22:15:00+00:00
-0.20005555,2019-03-31 22:30:00+00:00
-0.19301389,2019-03-31 22:45:00+00:00
-0.18819444,2019-03-31 23:00:00+00:00
-0.18280555,2019-03-31 23:15:00+00:00
-0.16961388,2019-04-01 00:15:00+00:00
-0.1695861,2019-04-01 00:30:00+00:00
-0.16666944,2019-04-01 00:45:00+00:00
-0.16611388,2019-04-01 01:00:00+00:00
-0.16690555,2019-04-01 01:15:00+00:00
-0.16238472,2019-04-01 01:30:00+00:00
-0.16211389,2019-04-01 01:45:00+00:00
-0.16069722,2019-04-01 02:00:00+00:00
-0.16091944,2019-04-01 02:15:00+00:00
-0.16493334,2019-04-01 02:30:00+00:00
-0.16651666,2019-04-01 02:45:00+00:00
-0.16962777,2019-04-01 03:00:00+00:00
-0.17125277,2019-04-01 03:15:00+00:00
-0.17226666,2019-04-01 03:30:00+00:00
-0.17282222,2019-04-01 03:45:00+00:00
-0.17033611,2019-04-01 04:00:00+00:00
-0.17000277,2019-04-01 04:15:00+00:00
-0.16951667,2019-04-01 04:30:00+00:00
-0.16457222,2019-04-01 04:45:00+00:00
-0.16169722,2019-04-01 05:00:00+00:00
-0.15880834,2019-04-01 05:15:00+00:00
-0.16007222,2019-04-01 05:30:00+00:00
-0.16101667,2019-04-01 05:45:00+00:00
-0.16066945,2019-04-01 06:00:00+00:00
-0.16249584,2019-04-01 06:15:00+00:00
-0.16371112,2019-04-01 06:30:00+00:00
-0.16362777,2019-04-01 06:45:00+00:00
-0.16651666,2019-04-01 07:00:00+00:00
-0.16532223,2019-04-01 07:15:00+00:00
-0.16418333,2019-04-01 07:30:00+00:00
-0.16103056,2019-04-01 07:45:00+00:00
-0.15662777,2019-04-01 08:00:00+00:00
-0.15223889,2019-04-01 08:15:00+00:00
-0.14707223,2019-04-01 08:30:00+00:00
-0.14330138,2019-04-01 08:45:00+00:00
-0.145475,2019-04-01 09:00:00+00:00
-0.142725,2019-04-01 09:15:00+00:00
-0.14089167,2019-04-01 09:30:00+00:00
-0.13862778,2019-04-01 09:45:00+00:00
-0.13611388,2019-04-01 10:00:00+00:00
-0.13226667,2019-04-01 10:15:00+00:00
-0.13118333,2019-04-01 10:30:00+00:00
-0.13305834,2019-04-01 10:45:00+00:00
-0.13357222,2019-04-01 11:00:00+00:00
-0.13262779,2019-04-01 11:15:00+00:00
-0.133975,2019-04-01 11:30:00+00:00
-0.13682222,2019-04-01 11:45:00+00:00
-0.13679445,2019-04-01 12:00:00+00:00
-0.13783611,2019-04-01 12:15:00+00:00
-0.13587777,2019-04-01 12:30:00+00:00
-0.13455833,2019-04-01 12:45:00+00:00
-0.13166945,2019-04-01 13:00:00+00:00
-0.13078056,2019-04-01 13:15:00+00:00
-0.13261388,2019-04-01 13:30:00+00:00
-0.13241944,2019-04-01 13:45:00+00:00
-0.129975,2019-04-01 14:00:00+00:00
-0.13183612,2019-04-01 14:15:00+00:00
-0.12915556,2019-04-01 14:30:00+00:00
-0.12768333,2019-04-01 14:45:00+00:00
-0.12611389,2019-04-01 15:00:00+00:00
-0.12655833,2019-04-01 15:15:00+00:00
-0.12571111,2019-04-01 15:30:00+00:00
-0.12526667,2019-04-01 15:45:00+00:00
-0.12640555,2019-04-01 16:00:00+00:00
-0.12778056,2019-04-01 16:15:00+00:00
-0.12553056,2019-04-01 16:30:00+00:00
-0.12437778,2019-04-01 16:45:00+00:00
-0.12400278,2019-04-01 17:00:00+00:00
-0.122433335,2019-04-01 17:15:00+00:00
-0.12346111,2019-04-01 17:30:00+00:00
